timestamp,ping_google.com [ms]
1503841863,26.6
1503842163,20.1
1503842463,25.8
1503842763,25.5
1503843063,27.0
1503843363,18.9
1503843663,32.0
1503843963,26.5
1503844263,23.1
1503844563,21.3
1503844863,19.1
1503845163,17.9
1503845463,24.1
1503845763,24.6
1503846063,21.0
1503846363,23.8
1503846663,23.0
1503846963,37.4
1503847263,22.8
1503847563,18.0
1503847863,27.0
1503848164,24.9
1503848463,26.9
1503848763,25.4
1503849063,24.0
1503849363,61.5
1503849663,31.0
1503849963,106.0
1503850263,28.5
1503850563,29.0
1503850863,28.7
1503851163,19.2
1503851463,25.5
1503851763,53.2
1503852063,28.0
1503852363,25.5
1503852663,29.3
1503852963,41.8
1503853263,29.1
1503853564,21.5
1503853863,58.9
1503854163,28.8
1503854463,29.0
1503854763,26.9
1503855063,23.7
1503855364,25.0
1503855663,31.0
1503855963,31.1
1503856263,36.0
1503856563,28.3
1503856863,21.1
1503857163,22.7
1503857463,20.1
1503857764,18.6
1503858063,24.2
1503858363,27.2
1503858663,26.0
1503858963,26.8
1503859263,39.0
1503859563,25.3
1503859863,25.1
1503860163,28.8
1503860463,28.8
1503860763,21.9
1503861063,20.9
1503861363,23.1
1503861663,19.1
1503861963,18.7
1503862263,23.9
1503862563,23.5
1503862863,29.0
1503863163,53.9
1503863463,28.4
1503863763,28.5
1503864063,24.3
1503864363,23.6
1503864663,23.0
1503864963,29.6
1503865263,28.7
1503865563,37.7
1503865863,19.1
1503866163,24.3
1503866463,18.3
1503866763,17.5
1503867063,27.9
1503867363,44.1
1503867663,21.1
1503867963,32.2
1503868263,18.3
1503868563,30.2
1503868863,18.3
1503869163,18.5
1503869463,32.8
1503869763,18.8
1503870063,23.7
1503870363,38.4
1503870664,26.2
1503870963,20.5
1503871263,49.3
1503871563,23.2
1503871863,24.1
1503872163,28.1
1503872463,46.0
1503872763,31.1
1503873063,18.9
1503873363,19.1
1503873663,62.1
1503873963,27.3
1503874263,34.3
1503874563,26.6
1503874863,29.5
1503875164,25.5
1503875463,31.4
1503875763,29.7
1503876063,29.0
1503876363,28.4
1503876663,31.1
1503876963,23.9
1503877263,40.3
1503877563,23.0
1503877863,23.4
1503878163,25.9
1503878463,30.6
1503878763,20.7
1503879063,25.8
1503879363,21.7
1503879663,23.0
1503879963,23.4
1503880264,29.0
1503880563,22.4
1503880863,25.1
1503881163,18.8
1503881463,36.9
1503881763,20.0
1503882063,22.0
1503882363,30.4
1503882663,37.0
1503882963,79.6
1503883263,23.3
1503883563,17.3
1503883863,29.5
1503884163,32.4
1503884463,25.1
1503884763,27.4
