timestamp,router_temp [deg C]
1503484383,27.0
1503487983,27.125
1503491583,27.25
1503520383,26.687
1503527583,26.812
1503531183,26.812
1503534783,26.75
1503538383,26.562
1503541983,26.375
1503545583,26.125
1503549183,25.875
1503552783,25.687
1503556383,25.625
1503559983,25.687
1503563583,26.562
1503567183,28.062
1503570783,27.25
1503574383,28.125
1503577983,27.0
1503581583,27.125
1503585183,26.312
1503588783,27.812
1503592383,27.312
1503595983,26.875
1503599583,27.0
1503603183,26.25
1503606783,24.062
1503610383,26.875
1503613983,26.125
1503617583,25.937
1503621184,25.812
1503624783,25.625
1503628383,25.437
1503631983,25.25
1503635583,25.0
1503639183,24.812
1503642783,24.625
1503646383,24.625
1503649983,24.812
1503653583,25.562
1503657183,25.125
1503660783,25.875
1503664383,26.125
1503667983,26.187
1503671583,26.375
1503675183,27.437
1503678783,26.375
1503682383,25.75
1503685983,25.125
1503689583,24.125
1503693183,23.125
1503696783,24.25
1503700383,25.0
1503703983,24.937
1503707583,24.937
1503711183,24.937
1503714783,24.812
1503718383,24.687
1503721983,24.562
1503725584,24.437
1503729184,24.312
1503732783,19.187
1503736383,23.125
1503739983,24.687
1503743583,25.25
1503747183,26.062
1503750783,25.187
1503754383,28.125
1503757983,28.375
1503761583,29.0
1503765183,29.187
1503768783,29.375
1503772383,29.562
1503775983,29.125
1503779583,28.75
1503783184,25.125
1503786783,26.562
1503790383,26.187
1503793983,25.687
1503797583,25.375
1503801183,24.875
1503804783,24.562
1503808383,24.25
1503811983,23.875
1503815583,23.375
1503819183,23.187
1503822783,23.937
1503826383,25.187
1503829983,26.437
1503833583,27.562
1503837183,28.437
1503840783,28.937
1503844383,29.187
1503847983,29.437
1503851583,29.687
1503855183,29.937
1503858783,30.187
1503862383,30.375
1503865983,30.187
1503869583,30.062
1503873183,29.75
1503876783,29.812
1503880383,29.562
1503883983,29.312
1503887583,29.0
1503891183,28.687
1503894783,28.437
1503898383,28.125
1503901983,27.812
1503905583,27.562
1503909183,27.937
1503912783,29.125
1503916383,28.75
1503919983,29.312
1503923583,30.062
1503927183,31.687
1503930783,32.062
1503934384,32.25
1503937983,31.75
1503941583,32.0
1503945183,32.062
1503948783,32.125
1503952383,28.625
1503955983,29.25
1503959584,29.812
1503963183,29.375
1503966783,29.25
1503970384,28.812
1503973983,28.5
1503977583,28.062
1503981183,27.5
1503984783,27.25
1503988383,27.125
1503991983,27.25
1503995583,27.625
1503999183,28.812
1504002783,28.812
1504006383,29.687
1504009983,31.562
1504013583,32.75
1504017183,32.687
1504020783,28.312
1504024383,31.625
1504027983,31.937
1504031583,31.25
1504035183,30.5
